"Suite","Name","Outcome","Message"
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Cancelling_auto_approval_confirmation_leaves_the_policy_disabled","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.ProjectStructure.ProjectStructurePageSimpleMutationTests.Generated_image_asset_create_uses_selected_provider_and_persists_image_asset","Failed","CanDoItAll.AgentFramework.Core.ProviderProfileValidationException : The selected provider secret reference does not exist."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.External_call_approval_switch_updates_the_runtime_policy","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_reports_the_actual_selected_agent_to_its_page_owner","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_delegates_new_chat_to_global_launcher_only_for_the_stable_prompts_curator_agent","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_delegates_new_chat_only_for_the_exact_workflow_curator_identity","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Changing_workspace_profile_preserves_existing_external_root_binding(selectedProfile: SoftwareDevelopment)","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Removing_a_saved_external_root_removes_its_alias_and_binding_on_save","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests.Capabilities_tab_shows_tools_and_filters_the_shared_catalog","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Approval_releases_the_ui_event_while_the_post_run_workspace_refresh_is_pending","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests.Delete_opens_confirmation_without_mutating_the_agent","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Deleted_agent_result_clears_selection_instead_of_selecting_another_agent","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_send_reloads_and_selects_the_exact_persisted_run","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Relative_external_workspace_root_is_rejected_without_clearing_the_input","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_toolbar_uses_icon_reset_tooltip_and_single_line_team_header","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.WorkflowsPageTests.Workflows_template_add_to_drafts_uses_next_prefix_when_name_exists","Failed","Bunit.Extensions.WaitForHelpers.WaitForFailedException : The assertion did not pass within the timeout period."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests.Capability_wizard_stages_new_agents_and_persists_existing_agents(existingAgent: True)","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_send_does_not_publish_reload_message_after_session_selection_supersedes_reload","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests.Capability_wizard_stages_new_agents_and_persists_existing_agents(existingAgent: False)","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogCapabilityTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_delegates_new_chat_only_for_the_exact_scheduler_agent_identity","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests.Successful_dialog_delete_emits_only_the_close_result_channel","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_send_does_not_apply_after_same_agent_session_aba_selection","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Successful_send_workspace_reload_failure_hides_secret_and_does_not_restore_draft","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
